Type,Handle,Block,Layer,Linetype,Linetype Scale,Lineweight,Color,Displayed Color,Draw Order,Center:X,Center:Y,Center:Z,Radius,Diameter,Length,Area,Referenced Block,Position:X,Position:Y,Position:Z,Scale:X,Scale:Y,Scale:Z,Angle,Columns,Rows,Column Spacing,Row Spacing,Circumference,Text Position:X,Text Position:Y,Text Position:Z,Scale,Origin:X,Origin:Y,Origin:Z,Start Point:X,Start Point:Y,Start Point:Z,End Point:X,End Point:Y,End Point:Z,Width,Height,Solid,Alpha,Pattern:Name,Pattern:From Entity,Pattern:Angle,Pattern:Scale,Vertex:X,Vertex:Y,Vertex:Z,Text,Polyline Pattern,Closed,Vertex:Bulge,Vertex:Angle,Vertex:Start Width,Vertex:End Width,Global Width,Orientation,Size:Base Angle,Size:Size 1,Size:Size 2,Global Z,Rotation,On,View Center:X,View Center:Y,View Target:X,View Target:Y,View Target:Z,Overall,Simple,Plain Text,Font Name,Text Height,Text Width,Text Angle,X Scale,Bold,Italic,Line Spacing,Alignment:Horizontal,Alignment:Vertical,Backward,Upside Down,Tag,Prompt,Name,Off,Frozen,Locked,Collapsed,Plottable,Snappable,Off is Freeze,Tab Order,Min Limits:X,Min Limits:Y,Min Limits:Z,Max Limits:X,Max Limits:Y,Max Limits:Z,Insertion Base:X,Insertion Base:Y,Insertion Base:Z,Min Extents:X,Min Extents:Y,Min Extents:Z,Max Extents:X,Max Extents:Y,Max Extents:Z,Plot Margins:Left,Plot Margins:Bottom,Plot Margins:Right,Plot Margins:Top,Plot Paper Size:Width,Plot Paper Size:Height,Plot Origin:X,Plot Origin:Y,Plot Window Area Min:X,Plot Window Area Min:Y,Plot Window Area Max:X,Plot Window Area Max:Y,Custom Scale:Numerator,Custom Scale:Denominator,Plot Paper Units,Plot Rotation,Plot Type,Use Standard Scale,Standard Scale,Standard Scale Type,Media Name,Description,Metric,Pattern,Hidden,Pixel Unit,Layout,Attributes:CODCONTRATISTA,Attributes:CODIGOPLANO,Attributes:CODIGOPROY,Attributes:CODSUBCONTRATISTA,Attributes:DEPARTAMENTOUNIDAD,Attributes:DIRECCIONPROY,Attributes:EQUIPODIBUJO,Attributes:ETAPAPROY,Attributes:FECHAHITO,Attributes:FRENTEOBRA,Attributes:HOJA,Attributes:INTERVENTORIA,Attributes:Inst_EL,Attributes:LIDERPROY,Attributes:MATRICULAPROF,Attributes:NOMBREAPROBO,Attributes:NOMBREDISEÑO,Attributes:NOMBREREVISO,Attributes:NUMDECONTRATO,Attributes:NUMLOTECONTROL,Attributes:NUMLOTETRABAJO,Attributes:REVISIÓN,Attributes:TOTAL_PLANOS,Attributes:Tag Caja,Attributes:Tag Gabinete,Attributes:Tag_inst,Attributes:VICEPRESIDENCIA,Attributes:dest,QCAD:MultiPageSettings/Columns,QCAD:MultiPageSettings/Rows,QCAD:PageSettings/OffsetX,QCAD:PageSettings/OffsetY,QCAD:PageSettings/PageOrientation,QCAD:PageSettings/PaperHeight,QCAD:PageSettings/PaperSizeName,QCAD:PageSettings/PaperWidth,QCAD:PageSettings/PointSize,QCAD:PageSettings/Scale,QCAD:PageSettings/ShowPaperBorders,REVIT:0001_1002,REVIT:0002_1070,REVIT:0003_1000,REVIT:0004_1002,REVIT:0005_1002,REVIT:0006_1070,REVIT:0007_1000,REVIT:0008_1002,REVIT:0009_1002,REVIT:0010_1070,REVIT:0011_1000,REVIT:0012_1002
Attribute,0x18b6cfc,*Model_Space,CANALIZACIONES,By Layer,1,By Layer,By Layer,#000000,1626,,,,,,,,,,,,,,,,,,,,,88.122444413137,63.583670939738,3.66963856141,,,,,,,,,,,,,,,,,,,,,,PIT-015,,,,,,,,,,,,,,,,,,,,,,PIT-015,Liberation Sans,0.18,0,1.570796326795,1,false,false,1,2,1,false,false,dest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Block Reference,0x18b6cfd,*Model_Space,CANALIZACIONES,By Layer,1,By Layer,By Layer,#000000,1627,,,,,,,,NODO2,87.728161800643,63.678726806365,0.0094704072,1.5,1.5,1,0,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PIT-014,,,,,,,,,,,,,,,,,,,,,,,
Attribute,0x18b6cfe,*Model_Space,CANALIZACIONES,By Layer,1,By Layer,By Layer,#000000,1628,,,,,,,,,,,,,,,,,,,,,87.653161800643,63.678726806365,0.0094704072,,,,,,,,,,,,,,,,,,,,,,PIT-014,,,,,,,,,,,,,,,,,,,,,,PIT-014,Liberation Sans,0.18,0,0,1,false,false,1,2,1,false,false,dest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Block Reference,0x18b6cff,*Model_Space,CANALIZACIONES,By Layer,1,By Layer,By Layer,#000000,1629,,,,,,,,NODO2,88.716288933461,62.278620383229,3.66963856141,1.5,1.5,1,0,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LIT-007,,,,,,,,,,,,,,,,,,,,,,,
Attribute,0x18b6d00,*Model_Space,CANALIZACIONES,By Layer,1,By Layer,By Layer,#000000,1630,,,,,,,,,,,,,,,,,,,,,88.641288933461,62.278620383229,3.66963856141,,,,,,,,,,,,,,,,,,,,,,LIT-007,,,,,,,,,,,,,,,,,,,,,,LIT-007,Liberation Sans,0.18,0,0,1,false,false,1,2,1,false,false,dest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Block Reference,0x18b6d01,*Model_Space,CANALIZACIONES,By Layer,1,By Layer,By Layer,#000000,1631,,,,,,,,NODO1,89.66330468934,61.676645939704,3.66963856141,1.5,1.5,1,0,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PIT-018,,,,,,,,,,,,,,,,,,,,,,,
Attribute,0x18b6d02,*Model_Space,CANALIZACIONES,By Layer,1,By Layer,By Layer,#000000,1632,,,,,,,,,,,,,,,,,,,,,89.73830468934,61.676645939704,3.66963856141,,,,,,,,,,,,,,,,,,,,,,PIT-018,,,,,,,,,,,,,,,,,,,,,,PIT-018,Liberation Sans,0.18,0,0,1,false,false,1,0,1,false,false,dest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Block Reference,0x18b6d03,*Model_Space,CANALIZACIONES,By Layer,1,By Layer,By Layer,#000000,1633,,,,,,,,NODO1,90.598180816393,61.338052590243,-3.66963856141,1.5,1.5,1,0,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PIT-026,,,,,,,,,,,,,,,,,,,,,,,
Attribute,0x18b6d04,*Model_Space,CANALIZACIONES,By Layer,1,By Layer,By Layer,#000000,1634,,,,,,,,,,,,,,,,,,,,,90.673180816393,61.338052590243,-3.66963856141,,,,,,,,,,,,,,,,,,,,,,PIT-026,,,,,,,,,,,,,,,,,,,,,,PIT-026,Liberation Sans,0.18,0,0,1,false,false,1,0,1,false,false,dest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Block Reference,0x18b6d05,*Model_Space,CANALIZACIONES,By Layer,1,By Layer,By Layer,#000000,1635,,,,,,,,NODO1,89.666205658577,60.291074690176,3.66963856141,1.5,1.5,1,0,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PIT-017,,,,,,,,,,,,,,,,,,,,,,,
