Tag señal,Origen,Locación,Lazo,Lazo típico,Servicio,Descripción,P&ID,Inf,Sup,Set Al,Un Ing,Tipo de I/O,Tipo de señal,destino,Controlador,HMI,Interbloqueos,Log de eventos,Tendencia,Histórico,Notas
XC-BOM002,VFD-002,CCM,L-005,L_Cerr_VFD4,BOMBA AGUA RESIDUAL SALIDA PRETRATAMIENTO BOM-002,COMANDO DE PARO,A2-2007-HD020,,,,,DO,Sink 24 VDC,GAB-001,PLC-001,EST-001,,SI,NO,NO,
XS-BOM002,VFD-002,CCM,L-005,L_Cerr_VFD4,BOMBA AGUA RESIDUAL SALIDA PRETRATAMIENTO BOM-002,CONSIGNA DE VELOCIDAD,A2-2007-HD020,,,,%,AO,4-20 mA,GAB-001,PLC-001,EST-001,,NO,SI,SI,
XO-BOM003,VFD-003,CCM,L-005,L_Cerr_VFD4,BOMBA AGUA RESIDUAL SALIDA PRETRATAMIENTO BOM-003,COMANDO DE ARRANQUE,A2-2007-HD020,,,,,DO,Sink 24 VDC,GAB-001,PLC-001,EST-001,,SI,NO,NO,
XC-BOM003,VFD-003,CCM,L-005,L_Cerr_VFD4,BOMBA AGUA RESIDUAL SALIDA PRETRATAMIENTO BOM-003,COMANDO DE PARO,A2-2007-HD020,,,,,DO,Sink 24 VDC,GAB-001,PLC-001,EST-001,,SI,NO,NO,
XS-BOM003,VFD-003,CCM,L-005,L_Cerr_VFD4,BOMBA AGUA RESIDUAL SALIDA PRETRATAMIENTO BOM-003,CONSIGNA DE VELOCIDAD,A2-2007-HD020,,,,%,AO,4-20 mA,GAB-001,PLC-001,EST-001,,NO,SI,SI,
XO-BOM004,VFD-004,CCM,L-005,L_Cerr_VFD4,BOMBA AGUA RESIDUAL SALIDA PRETRATAMIENTO BOM-004,COMANDO DE ARRANQUE,A2-2007-HD020,,,,,DO,Sink 24 VDC,GAB-001,PLC-001,EST-001,,SI,NO,NO,
XC-BOM004,VFD-004,CCM,L-005,L_Cerr_VFD4,BOMBA AGUA RESIDUAL SALIDA PRETRATAMIENTO BOM-004,COMANDO DE PARO,A2-2007-HD020,,,,,DO,Sink 24 VDC,GAB-001,PLC-001,EST-001,,SI,NO,NO,
XS-BOM004,VFD-004,CCM,L-005,L_Cerr_VFD4,BOMBA AGUA RESIDUAL SALIDA PRETRATAMIENTO BOM-004,CONSIGNA DE VELOCIDAD,A2-2007-HD020,,,,%,AO,4-20 mA,GAB-001,PLC-001,EST-001,,NO,SI,SI,
LI-006,LIT-006,FLD,L-006,L_Cerr_VFD3,CAJA DE DISTRIBUCION CAJADIS-003,INDICACION DE NIVEL,A2-2007-HD021,HOLD,HOLD,,HOLD,AI,4-20 mA,JBI-005,PLC-002,EST-001,,NO,SI,SI,
LAL-006,LIT-006,FLD,L-006,L_Cerr_VFD3,CAJA DE DISTRIBUCION CAJADIS-003,ALARMA POR BAJO NIVEL,A2-2007-HD021,,,HOLD,HOLD,S,,NA,NA,NA,I-14/15/16,SI,NO,NO,
LAH-006,LIT-006,FLD,L-006,L_Cerr_VFD3,CAJA DE DISTRIBUCION CAJADIS-003,ALARMA POR ALTO NIVEL,A2-2007-HD021,,,HOLD,HOLD,S,,NA,NA,NA,,SI,NO,NO,
XO-BOM013,VFD-013,CCM,L-006,L_Cerr_VFD3,BOMBA AGUA RECIRCULACION F PERCOLADORES BOM-013,COMANDO DE ARRANQUE,A2-2007-HD021,,,,,DO,Sink 24 VDC,GAB-001,PLC-001,EST-001,,SI,NO,NO,
XC-BOM013,VFD-013,CCM,L-006,L_Cerr_VFD3,BOMBA AGUA RECIRCULACION F PERCOLADORES BOM-013,COMANDO DE PARO,A2-2007-HD021,,,,,DO,Sink 24 VDC,GAB-001,PLC-001,EST-001,,SI,NO,NO,
XS-BOM013,VFD-013,CCM,L-006,L_Cerr_VFD3,BOMBA AGUA RECIRCULACION F PERCOLADORES BOM-013,CONSIGNA DE VELOCIDAD,A2-2007-HD021,,,,%,AO,4-20 mA,GAB-001,PLC-001,EST-001,,NO,SI,SI,
XO-BOM014,VFD-014,CCM,L-006,L_Cerr_VFD3,BOMBA AGUA RECIRCULACION F PERCOLADORES BOM-014,COMANDO DE ARRANQUE,A2-2007-HD021,,,,,DO,Sink 24 VDC,GAB-001,PLC-001,EST-001,,SI,NO,NO,
XC-BOM014,VFD-014,CCM,L-006,L_Cerr_VFD3,BOMBA AGUA RECIRCULACION F PERCOLADORES BOM-014,COMANDO DE PARO,A2-2007-HD021,,,,,DO,Sink 24 VDC,GAB-001,PLC-001,EST-001,,SI,NO,NO,
XS-BOM014,VFD-014,CCM,L-006,L_Cerr_VFD3,BOMBA AGUA RECIRCULACION F PERCOLADORES BOM-014,CONSIGNA DE VELOCIDAD,A2-2007-HD021,,,,%,AO,4-20 mA,GAB-001,PLC-001,EST-001,,NO,SI,SI,
