Tag_Sig,Origen,Tipo_IO,Tipo_Sig,Dest,Cntrl,Cable1,Par1,Par2,Cable2,Jborne1,Jborne2,Jborne3,Jborne4,JTS,c_bornes,b,Gborne1,Gborne2,Gborne3,Gborne4,GTS
ZIO-FCV025,FCV-025,DI,D,JBI-006,PLC-002,CB-FCV-025-D-1,5,13,CB-JBI-006-D-2,73,74,NA,NA,TS-D,2,98,97,98,NA,NA,TS-D
RESERVA,FCV-025,NA,D,JBI-006,PLC-002,CB-FCV-025-D-1,6,14,CB-JBI-006-D-2,75,76,NA,NA,TS-D,2,100,99,100,NA,NA,TS-D
RESERVA,FCV-025,NA,D,JBI-006,PLC-002,CB-FCV-025-D-1,7,15,CB-JBI-006-D-2,77,78,NA,NA,TS-D,2,102,101,102,NA,NA,TS-D
RESERVA,FCV-025,NA,D,JBI-006,PLC-002,CB-FCV-025-D-1,8,16,CB-JBI-006-D-2,79,80,NA,NA,TS-D,2,104,103,104,NA,NA,TS-D
LAH-004,LS-004,DI,D,JBI-006,PLC-002,CB-LS-004-D-1,1,17,CB-JBI-006-D-2,81,82,NA,NA,TS-D,2,106,105,106,NA,NA,TS-D
LAL-004,LS-004,DI,D,JBI-006,PLC-002,CB-LS-004-D-1,2,18,CB-JBI-006-D-2,83,84,NA,NA,TS-D,2,108,107,108,NA,NA,TS-D
LALL-004,LS-004,DI,D,JBI-006,PLC-002,CB-LS-004-D-1,3,19,CB-JBI-006-D-2,85,86,NA,NA,TS-D,2,110,109,110,NA,NA,TS-D
RESERVA,LS-004,NA,D,JBI-006,PLC-002,CB-LS-004-D-1,4,20,CB-JBI-006-D-2,87,88,NA,NA,TS-D,2,112,111,112,NA,NA,TS-D
LAH-005,LS-005,DI,D,JBI-006,PLC-002,CB-LS-005-D-1,1,21,CB-JBI-006-D-2,89,90,NA,NA,TS-D,2,114,113,114,NA,NA,TS-D
LAL-005,LS-005,DI,D,JBI-006,PLC-002,CB-LS-005-D-1,2,22,CB-JBI-006-D-2,91,92,NA,NA,TS-D,2,116,115,116,NA,NA,TS-D
LALL-005,LS-005,DI,D,JBI-006,PLC-002,CB-LS-005-D-1,3,23,CB-JBI-006-D-2,93,94,NA,NA,TS-D,2,118,117,118,NA,NA,TS-D
RESERVA,LS-005,NA,D,JBI-006,PLC-002,CB-LS-005-D-1,4,24,CB-JBI-006-D-2,95,96,NA,NA,TS-D,2,120,119,120,NA,NA,TS-D
XV-003,SV-003,DO,D,JBI-006,PLC-002,CB-SV-003-D-1,1,1,CB-JBI-006-D-3,97,98,NA,NA,TS-D,2,122,121,122,NA,NA,TS-D
XV-005,SV-005,DO,D,JBI-006,PLC-002,CB-SV-005-D-1,1,2,CB-JBI-006-D-3,99,100,NA,NA,TS-D,2,124,123,124,NA,NA,TS-D
XV-007,SV-007,DO,D,JBI-006,PLC-002,CB-SV-007-D-1,1,3,CB-JBI-006-D-3,101,102,NA,NA,TS-D,2,126,125,126,NA,NA,TS-D
RESERVA,NA,NA,D,JBI-006,PLC-002,NA,NA,4,CB-JBI-006-D-3,103,104,NA,NA,TS-D,2,128,127,128,NA,NA,TS-D
RESERVA,NA,NA,D,JBI-006,PLC-002,NA,NA,5,CB-JBI-006-D-3,105,106,NA,NA,TS-D,2,130,129,130,NA,NA,TS-D
RESERVA,NA,NA,D,JBI-006,PLC-002,NA,NA,6,CB-JBI-006-D-3,107,108,NA,NA,TS-D,2,132,131,132,NA,NA,TS-D
RESERVA,NA,NA,D,JBI-006,PLC-002,NA,NA,7,CB-JBI-006-D-3,109,110,NA,NA,TS-D,2,134,133,134,NA,NA,TS-D
RESERVA,NA,NA,D,JBI-006,PLC-002,NA,NA,8,CB-JBI-006-D-3,111,112,NA,NA,TS-D,2,136,135,136,NA,NA,TS-D
RESERVA,NA,NA,D,JBI-006,PLC-002,NA,NA,9,CB-JBI-006-D-3,113,114,NA,NA,TS-D,2,138,137,138,NA,NA,TS-D
RESERVA,NA,NA,D,JBI-006,PLC-002,NA,NA,10,CB-JBI-006-D-3,115,116,NA,NA,TS-D,2,140,139,140,NA,NA,TS-D
RESERVA,NA,NA,D,JBI-006,PLC-002,NA,NA,11,CB-JBI-006-D-3,117,118,NA,NA,TS-D,2,142,141,142,NA,NA,TS-D
RESERVA,NA,NA,D,JBI-006,PLC-002,NA,NA,12,CB-JBI-006-D-3,119,120,NA,NA,TS-D,2,144,143,144,NA,NA,TS-D
XC-FCV012,FCV-012,DO,D,JBI-007,PLC-002,CB-FCV-012-D-1,1,1,CB-JBI-007-D-1,1,2,NA,NA,TS-D,2,146,145,146,NA,NA,TS-D
XLR-FCV012,FCV-012,DI,D,JBI-007,PLC-002,CB-FCV-012-D-1,2,2,CB-JBI-007-D-1,3,4,NA,NA,TS-D,2,148,147,148,NA,NA,TS-D
XO-FCV012,FCV-012,DO,D,JBI-007,PLC-002,CB-FCV-012-D-1,3,3,CB-JBI-007-D-1,5,6,NA,NA,TS-D,2,150,149,150,NA,NA,TS-D
ZIC-FCV012,FCV-012,DI,D,JBI-007,PLC-002,CB-FCV-012-D-1,4,4,CB-JBI-007-D-1,7,8,NA,NA,TS-D,2,152,151,152,NA,NA,TS-D
ZIO-FCV012,FCV-012,DI,D,JBI-007,PLC-002,CB-FCV-012-D-1,5,5,CB-JBI-007-D-1,9,10,NA,NA,TS-D,2,154,153,154,NA,NA,TS-D
RESERVA,FCV-012,NA,D,JBI-007,PLC-002,CB-FCV-012-D-1,6,6,CB-JBI-007-D-1,11,12,NA,NA,TS-D,2,156,155,156,NA,NA,TS-D
RESERVA,FCV-012,NA,D,JBI-007,PLC-002,CB-FCV-012-D-1,7,7,CB-JBI-007-D-1,13,14,NA,NA,TS-D,2,158,157,158,NA,NA,TS-D
RESERVA,FCV-012,NA,D,JBI-007,PLC-002,CB-FCV-012-D-1,8,8,CB-JBI-007-D-1,15,16,NA,NA,TS-D,2,160,159,160,NA,NA,TS-D
XC-FCV013,FCV-013,DO,D,JBI-007,PLC-002,CB-FCV-013-D-1,1,9,CB-JBI-007-D-1,17,18,NA,NA,TS-D,2,162,161,162,NA,NA,TS-D
XLR-FCV013,FCV-013,DI,D,JBI-007,PLC-002,CB-FCV-013-D-1,2,10,CB-JBI-007-D-1,19,20,NA,NA,TS-D,2,164,163,164,NA,NA,TS-D
XO-FCV013,FCV-013,DO,D,JBI-007,PLC-002,CB-FCV-013-D-1,3,11,CB-JBI-007-D-1,21,22,NA,NA,TS-D,2,166,165,166,NA,NA,TS-D
ZIC-FCV013,FCV-013,DI,D,JBI-007,PLC-002,CB-FCV-013-D-1,4,12,CB-JBI-007-D-1,23,24,NA,NA,TS-D,2,168,167,168,NA,NA,TS-D
ZIO-FCV013,FCV-013,DI,D,JBI-007,PLC-002,CB-FCV-013-D-1,5,13,CB-JBI-007-D-1,25,26,NA,NA,TS-D,2,170,169,170,NA,NA,TS-D
RESERVA,FCV-013,NA,D,JBI-007,PLC-002,CB-FCV-013-D-1,6,14,CB-JBI-007-D-1,27,28,NA,NA,TS-D,2,172,171,172,NA,NA,TS-D
RESERVA,FCV-013,NA,D,JBI-007,PLC-002,CB-FCV-013-D-1,7,15,CB-JBI-007-D-1,29,30,NA,NA,TS-D,2,174,173,174,NA,NA,TS-D
RESERVA,FCV-013,NA,D,JBI-007,PLC-002,CB-FCV-013-D-1,8,16,CB-JBI-007-D-1,31,32,NA,NA,TS-D,2,176,175,176,NA,NA,TS-D
XC-FCV014,FCV-014,DO,D,JBI-007,PLC-002,CB-FCV-014-D-1,1,17,CB-JBI-007-D-1,33,34,NA,NA,TS-D,2,178,177,178,NA,NA,TS-D
XLR-FCV014,FCV-014,DI,D,JBI-007,PLC-002,CB-FCV-014-D-1,2,18,CB-JBI-007-D-1,35,36,NA,NA,TS-D,2,180,179,180,NA,NA,TS-D
XO-FCV014,FCV-014,DO,D,JBI-007,PLC-002,CB-FCV-014-D-1,3,19,CB-JBI-007-D-1,37,38,NA,NA,TS-D,2,182,181,182,NA,NA,TS-D
ZIC-FCV014,FCV-014,DI,D,JBI-007,PLC-002,CB-FCV-014-D-1,4,20,CB-JBI-007-D-1,39,40,NA,NA,TS-D,2,184,183,184,NA,NA,TS-D
ZIO-FCV014,FCV-014,DI,D,JBI-007,PLC-002,CB-FCV-014-D-1,5,21,CB-JBI-007-D-1,41,42,NA,NA,TS-D,2,186,185,186,NA,NA,TS-D
RESERVA,FCV-014,NA,D,JBI-007,PLC-002,CB-FCV-014-D-1,6,22,CB-JBI-007-D-1,43,44,NA,NA,TS-D,2,188,187,188,NA,NA,TS-D
RESERVA,FCV-014,NA,D,JBI-007,PLC-002,CB-FCV-014-D-1,7,23,CB-JBI-007-D-1,45,46,NA,NA,TS-D,2,190,189,190,NA,NA,TS-D
RESERVA,FCV-014,NA,D,JBI-007,PLC-002,CB-FCV-014-D-1,8,24,CB-JBI-007-D-1,47,48,NA,NA,TS-D,2,192,191,192,NA,NA,TS-D
XC-FCV015,FCV-015,DO,D,JBI-007,PLC-002,CB-FCV-015-D-1,1,1,CB-JBI-007-D-2,49,50,NA,NA,TS-D,2,194,193,194,NA,NA,TS-D
XLR-FCV015,FCV-015,DI,D,JBI-007,PLC-002,CB-FCV-015-D-1,2,2,CB-JBI-007-D-2,51,52,NA,NA,TS-D,2,196,195,196,NA,NA,TS-D
XO-FCV015,FCV-015,DO,D,JBI-007,PLC-002,CB-FCV-015-D-1,3,3,CB-JBI-007-D-2,53,54,NA,NA,TS-D,2,198,197,198,NA,NA,TS-D
ZIC-FCV015,FCV-015,DI,D,JBI-007,PLC-002,CB-FCV-015-D-1,4,4,CB-JBI-007-D-2,55,56,NA,NA,TS-D,2,200,199,200,NA,NA,TS-D
ZIO-FCV015,FCV-015,DI,D,JBI-007,PLC-002,CB-FCV-015-D-1,5,5,CB-JBI-007-D-2,57,58,NA,NA,TS-D,2,202,201,202,NA,NA,TS-D
RESERVA,FCV-015,NA,D,JBI-007,PLC-002,CB-FCV-015-D-1,6,6,CB-JBI-007-D-2,59,60,NA,NA,TS-D,2,204,203,204,NA,NA,TS-D
RESERVA,FCV-015,NA,D,JBI-007,PLC-002,CB-FCV-015-D-1,7,7,CB-JBI-007-D-2,61,62,NA,NA,TS-D,2,206,205,206,NA,NA,TS-D
RESERVA,FCV-015,NA,D,JBI-007,PLC-002,CB-FCV-015-D-1,8,8,CB-JBI-007-D-2,63,64,NA,NA,TS-D,2,208,207,208,NA,NA,TS-D
XC-FCV016,FCV-016,DO,D,JBI-007,PLC-002,CB-FCV-016-D-1,1,9,CB-JBI-007-D-2,65,66,NA,NA,TS-D,2,210,209,210,NA,NA,TS-D
XLR-FCV016,FCV-016,DI,D,JBI-007,PLC-002,CB-FCV-016-D-1,2,10,CB-JBI-007-D-2,67,68,NA,NA,TS-D,2,212,211,212,NA,NA,TS-D
XO-FCV016,FCV-016,DO,D,JBI-007,PLC-002,CB-FCV-016-D-1,3,11,CB-JBI-007-D-2,69,70,NA,NA,TS-D,2,214,213,214,NA,NA,TS-D
ZIC-FCV016,FCV-016,DI,D,JBI-007,PLC-002,CB-FCV-016-D-1,4,12,CB-JBI-007-D-2,71,72,NA,NA,TS-D,2,216,215,216,NA,NA,TS-D
ZIO-FCV016,FCV-016,DI,D,JBI-007,PLC-002,CB-FCV-016-D-1,5,13,CB-JBI-007-D-2,73,74,NA,NA,TS-D,2,218,217,218,NA,NA,TS-D
RESERVA,FCV-016,NA,D,JBI-007,PLC-002,CB-FCV-016-D-1,6,14,CB-JBI-007-D-2,75,76,NA,NA,TS-D,2,220,219,220,NA,NA,TS-D
RESERVA,FCV-016,NA,D,JBI-007,PLC-002,CB-FCV-016-D-1,7,15,CB-JBI-007-D-2,77,78,NA,NA,TS-D,2,222,221,222,NA,NA,TS-D
RESERVA,FCV-016,NA,D,JBI-007,PLC-002,CB-FCV-016-D-1,8,16,CB-JBI-007-D-2,79,80,NA,NA,TS-D,2,224,223,224,NA,NA,TS-D
XC-FCV017,FCV-017,DO,D,JBI-007,PLC-002,CB-FCV-017-D-1,1,17,CB-JBI-007-D-2,81,82,NA,NA,TS-D,2,226,225,226,NA,NA,TS-D
XLR-FCV017,FCV-017,DI,D,JBI-007,PLC-002,CB-FCV-017-D-1,2,18,CB-JBI-007-D-2,83,84,NA,NA,TS-D,2,228,227,228,NA,NA,TS-D
XO-FCV017,FCV-017,DO,D,JBI-007,PLC-002,CB-FCV-017-D-1,3,19,CB-JBI-007-D-2,85,86,NA,NA,TS-D,2,230,229,230,NA,NA,TS-D
ZIC-FCV017,FCV-017,DI,D,JBI-007,PLC-002,CB-FCV-017-D-1,4,20,CB-JBI-007-D-2,87,88,NA,NA,TS-D,2,232,231,232,NA,NA,TS-D
ZIO-FCV017,FCV-017,DI,D,JBI-007,PLC-002,CB-FCV-017-D-1,5,21,CB-JBI-007-D-2,89,90,NA,NA,TS-D,2,234,233,234,NA,NA,TS-D
RESERVA,FCV-017,NA,D,JBI-007,PLC-002,CB-FCV-017-D-1,6,22,CB-JBI-007-D-2,91,92,NA,NA,TS-D,2,236,235,236,NA,NA,TS-D
RESERVA,FCV-017,NA,D,JBI-007,PLC-002,CB-FCV-017-D-1,7,23,CB-JBI-007-D-2,93,94,NA,NA,TS-D,2,238,237,238,NA,NA,TS-D
RESERVA,FCV-017,NA,D,JBI-007,PLC-002,CB-FCV-017-D-1,8,24,CB-JBI-007-D-2,95,96,NA,NA,TS-D,2,240,239,240,NA,NA,TS-D
RESERVA,NA,NA,D,JBI-007,PLC-002,NA,NA,1,CB-JBI-007-D-3,97,98,NA,NA,TS-D,2,242,241,242,NA,NA,TS-D
RESERVA,NA,NA,D,JBI-007,PLC-002,NA,NA,2,CB-JBI-007-D-3,99,100,NA,NA,TS-D,2,244,243,244,NA,NA,TS-D
RESERVA,NA,NA,D,JBI-007,PLC-002,NA,NA,3,CB-JBI-007-D-3,101,102,NA,NA,TS-D,2,246,245,246,NA,NA,TS-D
RESERVA,NA,NA,D,JBI-007,PLC-002,NA,NA,4,CB-JBI-007-D-3,103,104,NA,NA,TS-D,2,248,247,248,NA,NA,TS-D
RESERVA,NA,NA,D,JBI-007,PLC-002,NA,NA,5,CB-JBI-007-D-3,105,106,NA,NA,TS-D,2,250,249,250,NA,NA,TS-D
RESERVA,NA,NA,D,JBI-007,PLC-002,NA,NA,6,CB-JBI-007-D-3,107,108,NA,NA,TS-D,2,252,251,252,NA,NA,TS-D
RESERVA,NA,NA,D,JBI-007,PLC-002,NA,NA,7,CB-JBI-007-D-3,109,110,NA,NA,TS-D,2,254,253,254,NA,NA,TS-D
RESERVA,NA,NA,D,JBI-007,PLC-002,NA,NA,8,CB-JBI-007-D-3,111,112,NA,NA,TS-D,2,256,255,256,NA,NA,TS-D
XC-SEDS001,CEL-SEDS001,DO,D,GAB-002,PLC-002,CB-CEL-SEDS001-D-1,1,1,CB-CEL-SEDS001-D-1,NA,NA,NA,NA,NA,2,258,257,258,NA,NA,TS-D
XO-SEDS001,CEL-SEDS001,DO,D,GAB-002,PLC-002,CB-CEL-SEDS001-D-1,2,2,CB-CEL-SEDS001-D-1,NA,NA,NA,NA,NA,2,260,259,260,NA,NA,TS-D
XC-SEDS002,CEL-SEDS002,DO,D,GAB-002,PLC-002,CB-CEL-SEDS002-D-1,1,1,CB-CEL-SEDS002-D-1,NA,NA,NA,NA,NA,2,262,261,262,NA,NA,TS-D
XO-SEDS002,CEL-SEDS002,DO,D,GAB-002,PLC-002,CB-CEL-SEDS002-D-1,2,2,CB-CEL-SEDS002-D-1,NA,NA,NA,NA,NA,2,264,263,264,NA,NA,TS-D
XC-SEDS003,CEL-SEDS003,DO,D,GAB-002,PLC-002,CB-CEL-SEDS003-D-1,1,1,CB-CEL-SEDS003-D-1,NA,NA,NA,NA,NA,2,266,265,266,NA,NA,TS-D
XO-SEDS003,CEL-SEDS003,DO,D,GAB-002,PLC-002,CB-CEL-SEDS003-D-1,2,2,CB-CEL-SEDS003-D-1,NA,NA,NA,NA,NA,2,268,267,268,NA,NA,TS-D
XA-MESP001,PNL-MESP001,DI,D,GAB-002,PLC-002,CB-PNL-MESP001-D-1,1,1,CB-PNL-MESP001-D-1,NA,NA,NA,NA,NA,2,270,269,270,NA,NA,TS-D
XC-MESP001,PNL-MESP001,DO,D,GAB-002,PLC-002,CB-PNL-MESP001-D-1,2,2,CB-PNL-MESP001-D-1,NA,NA,NA,NA,NA,2,272,271,272,NA,NA,TS-D
XI-MESP001,PNL-MESP001,DI,D,GAB-002,PLC-002,CB-PNL-MESP001-D-1,3,3,CB-PNL-MESP001-D-1,NA,NA,NA,NA,NA,2,274,273,274,NA,NA,TS-D
XLR-MESP001,PNL-MESP001,DI,D,GAB-002,PLC-002,CB-PNL-MESP001-D-1,4,4,CB-PNL-MESP001-D-1,NA,NA,NA,NA,NA,2,276,275,276,NA,NA,TS-D
XO-MESP001,PNL-MESP001,DO,D,GAB-002,PLC-002,CB-PNL-MESP001-D-1,5,5,CB-PNL-MESP001-D-1,NA,NA,NA,NA,NA,2,278,277,278,NA,NA,TS-D
RESERVA,PNL-MESP001,NA,D,GAB-002,PLC-002,CB-PNL-MESP001-D-1,6,6,CB-PNL-MESP001-D-1,NA,NA,NA,NA,NA,2,280,279,280,NA,NA,TS-D
RESERVA,PNL-MESP001,NA,D,GAB-002,PLC-002,CB-PNL-MESP001-D-1,7,7,CB-PNL-MESP001-D-1,NA,NA,NA,NA,NA,2,282,281,282,NA,NA,TS-D
RESERVA,PNL-MESP001,NA,D,GAB-002,PLC-002,CB-PNL-MESP001-D-1,8,8,CB-PNL-MESP001-D-1,NA,NA,NA,NA,NA,2,284,283,284,NA,NA,TS-D
XA-MESP002,PNL-MESP002,DI,D,GAB-002,PLC-002,CB-PNL-MESP002-D-1,1,1,CB-PNL-MESP002-D-1,NA,NA,NA,NA,NA,2,286,285,286,NA,NA,TS-D
XC-MESP002,PNL-MESP002,DO,D,GAB-002,PLC-002,CB-PNL-MESP002-D-1,2,2,CB-PNL-MESP002-D-1,NA,NA,NA,NA,NA,2,288,287,288,NA,NA,TS-D
XI-MESP002,PNL-MESP002,DI,D,GAB-002,PLC-002,CB-PNL-MESP002-D-1,3,3,CB-PNL-MESP002-D-1,NA,NA,NA,NA,NA,2,290,289,290,NA,NA,TS-D
XLR-MESP002,PNL-MESP002,DI,D,GAB-002,PLC-002,CB-PNL-MESP002-D-1,4,4,CB-PNL-MESP002-D-1,NA,NA,NA,NA,NA,2,292,291,292,NA,NA,TS-D
XO-MESP002,PNL-MESP002,DO,D,GAB-002,PLC-002,CB-PNL-MESP002-D-1,5,5,CB-PNL-MESP002-D-1,NA,NA,NA,NA,NA,2,294,293,294,NA,NA,TS-D
RESERVA,PNL-MESP002,NA,D,GAB-002,PLC-002,CB-PNL-MESP002-D-1,6,6,CB-PNL-MESP002-D-1,NA,NA,NA,NA,NA,2,296,295,296,NA,NA,TS-D
RESERVA,PNL-MESP002,NA,D,GAB-002,PLC-002,CB-PNL-MESP002-D-1,7,7,CB-PNL-MESP002-D-1,NA,NA,NA,NA,NA,2,298,297,298,NA,NA,TS-D
RESERVA,PNL-MESP002,NA,D,GAB-002,PLC-002,CB-PNL-MESP002-D-1,8,8,CB-PNL-MESP002-D-1,NA,NA,NA,NA,NA,2,300,299,300,NA,NA,TS-D
XA-MESP003,PNL-MESP003,DI,D,GAB-002,PLC-002,CB-PNL-MESP003-D-1,1,1,CB-PNL-MESP003-D-1,NA,NA,NA,NA,NA,2,302,301,302,NA,NA,TS-D
XC-MESP003,PNL-MESP003,DO,D,GAB-002,PLC-002,CB-PNL-MESP003-D-1,2,2,CB-PNL-MESP003-D-1,NA,NA,NA,NA,NA,2,304,303,304,NA,NA,TS-D
XI-MESP003,PNL-MESP003,DI,D,GAB-002,PLC-002,CB-PNL-MESP003-D-1,3,3,CB-PNL-MESP003-D-1,NA,NA,NA,NA,NA,2,306,305,306,NA,NA,TS-D
XLR-MESP003,PNL-MESP003,DI,D,GAB-002,PLC-002,CB-PNL-MESP003-D-1,4,4,CB-PNL-MESP003-D-1,NA,NA,NA,NA,NA,2,308,307,308,NA,NA,TS-D
XO-MESP003,PNL-MESP003,DO,D,GAB-002,PLC-002,CB-PNL-MESP003-D-1,5,5,CB-PNL-MESP003-D-1,NA,NA,NA,NA,NA,2,310,309,310,NA,NA,TS-D
RESERVA,PNL-MESP003,NA,D,GAB-002,PLC-002,CB-PNL-MESP003-D-1,6,6,CB-PNL-MESP003-D-1,NA,NA,NA,NA,NA,2,312,311,312,NA,NA,TS-D
RESERVA,PNL-MESP003,NA,D,GAB-002,PLC-002,CB-PNL-MESP003-D-1,7,7,CB-PNL-MESP003-D-1,NA,NA,NA,NA,NA,2,314,313,314,NA,NA,TS-D
RESERVA,PNL-MESP003,NA,D,GAB-002,PLC-002,CB-PNL-MESP003-D-1,8,8,CB-PNL-MESP003-D-1,NA,NA,NA,NA,NA,2,316,315,316,NA,NA,TS-D
XA-SCAL001,PNL-SCAL001,DI,D,GAB-002,PLC-002,CB-PNL-SCAL001-D-1,1,1,CB-PNL-SCAL001-D-1,NA,NA,NA,NA,NA,2,318,317,318,NA,NA,TS-D
XC-SCAL001,PNL-SCAL001,DO,D,GAB-002,PLC-002,CB-PNL-SCAL001-D-1,2,2,CB-PNL-SCAL001-D-1,NA,NA,NA,NA,NA,2,320,319,320,NA,NA,TS-D
XI-SCAL001,PNL-SCAL001,DI,D,GAB-002,PLC-002,CB-PNL-SCAL001-D-1,3,3,CB-PNL-SCAL001-D-1,NA,NA,NA,NA,NA,2,322,321,322,NA,NA,TS-D
XLR-SCAL001,PNL-SCAL001,DI,D,GAB-002,PLC-002,CB-PNL-SCAL001-D-1,4,4,CB-PNL-SCAL001-D-1,NA,NA,NA,NA,NA,2,324,323,324,NA,NA,TS-D
XO-SCAL001,PNL-SCAL001,DO,D,GAB-002,PLC-002,CB-PNL-SCAL001-D-1,5,5,CB-PNL-SCAL001-D-1,NA,NA,NA,NA,NA,2,326,325,326,NA,NA,TS-D
RESERVA,PNL-SCAL001,NA,D,GAB-002,PLC-002,CB-PNL-SCAL001-D-1,6,6,CB-PNL-SCAL001-D-1,NA,NA,NA,NA,NA,2,328,327,328,NA,NA,TS-D
RESERVA,PNL-SCAL001,NA,D,GAB-002,PLC-002,CB-PNL-SCAL001-D-1,7,7,CB-PNL-SCAL001-D-1,NA,NA,NA,NA,NA,2,330,329,330,NA,NA,TS-D
RESERVA,PNL-SCAL001,NA,D,GAB-002,PLC-002,CB-PNL-SCAL001-D-1,8,8,CB-PNL-SCAL001-D-1,NA,NA,NA,NA,NA,2,332,331,332,NA,NA,TS-D
XA-SCAL002,PNL-SCAL002,DI,D,GAB-002,PLC-002,CB-PNL-SCAL002-D-1,1,1,CB-PNL-SCAL002-D-1,NA,NA,NA,NA,NA,2,334,333,334,NA,NA,TS-D
XC-SCAL002,PNL-SCAL002,DO,D,GAB-002,PLC-002,CB-PNL-SCAL002-D-1,2,2,CB-PNL-SCAL002-D-1,NA,NA,NA,NA,NA,2,336,335,336,NA,NA,TS-D
XI-SCAL002,PNL-SCAL002,DI,D,GAB-002,PLC-002,CB-PNL-SCAL002-D-1,3,3,CB-PNL-SCAL002-D-1,NA,NA,NA,NA,NA,2,338,337,338,NA,NA,TS-D
XLR-SCAL002,PNL-SCAL002,DI,D,GAB-002,PLC-002,CB-PNL-SCAL002-D-1,4,4,CB-PNL-SCAL002-D-1,NA,NA,NA,NA,NA,2,340,339,340,NA,NA,TS-D
XO-SCAL002,PNL-SCAL002,DO,D,GAB-002,PLC-002,CB-PNL-SCAL002-D-1,5,5,CB-PNL-SCAL002-D-1,NA,NA,NA,NA,NA,2,342,341,342,NA,NA,TS-D
RESERVA,PNL-SCAL002,NA,D,GAB-002,PLC-002,CB-PNL-SCAL002-D-1,6,6,CB-PNL-SCAL002-D-1,NA,NA,NA,NA,NA,2,344,343,344,NA,NA,TS-D
RESERVA,PNL-SCAL002,NA,D,GAB-002,PLC-002,CB-PNL-SCAL002-D-1,7,7,CB-PNL-SCAL002-D-1,NA,NA,NA,NA,NA,2,346,345,346,NA,NA,TS-D
RESERVA,PNL-SCAL002,NA,D,GAB-002,PLC-002,CB-PNL-SCAL002-D-1,8,8,CB-PNL-SCAL002-D-1,NA,NA,NA,NA,NA,2,348,347,348,NA,NA,TS-D
XA-BOM016,VFD-016,DI,D,GAB-002,PLC-002,CB-VFD-016-D-1,1,1,CB-VFD-016-D-1,NA,NA,NA,NA,NA,2,350,349,350,NA,NA,TS-D
XC-BOM016,VFD-016,DO,D,GAB-002,PLC-002,CB-VFD-016-D-1,2,2,CB-VFD-016-D-1,NA,NA,NA,NA,NA,2,352,351,352,NA,NA,TS-D
XI-BOM016,VFD-016,DI,D,GAB-002,PLC-002,CB-VFD-016-D-1,3,3,CB-VFD-016-D-1,NA,NA,NA,NA,NA,2,354,353,354,NA,NA,TS-D
XO-BOM016,VFD-016,DO,D,GAB-002,PLC-002,CB-VFD-016-D-1,4,4,CB-VFD-016-D-1,NA,NA,NA,NA,NA,2,356,355,356,NA,NA,TS-D
XA-BOM017,VFD-017,DI,D,GAB-002,PLC-002,CB-VFD-017-D-1,1,1,CB-VFD-017-D-1,NA,NA,NA,NA,NA,2,358,357,358,NA,NA,TS-D
XC-BOM017,VFD-017,DO,D,GAB-002,PLC-002,CB-VFD-017-D-1,2,2,CB-VFD-017-D-1,NA,NA,NA,NA,NA,2,360,359,360,NA,NA,TS-D
XI-BOM017,VFD-017,DI,D,GAB-002,PLC-002,CB-VFD-017-D-1,3,3,CB-VFD-017-D-1,NA,NA,NA,NA,NA,2,362,361,362,NA,NA,TS-D
XO-BOM017,VFD-017,DO,D,GAB-002,PLC-002,CB-VFD-017-D-1,4,4,CB-VFD-017-D-1,NA,NA,NA,NA,NA,2,364,363,364,NA,NA,TS-D
XA-BOM018,VFD-018,DI,D,GAB-002,PLC-002,CB-VFD-018-D-1,1,1,CB-VFD-018-D-1,NA,NA,NA,NA,NA,2,366,365,366,NA,NA,TS-D
XC-BOM018,VFD-018,DO,D,GAB-002,PLC-002,CB-VFD-018-D-1,2,2,CB-VFD-018-D-1,NA,NA,NA,NA,NA,2,368,367,368,NA,NA,TS-D
XI-BOM018,VFD-018,DI,D,GAB-002,PLC-002,CB-VFD-018-D-1,3,3,CB-VFD-018-D-1,NA,NA,NA,NA,NA,2,370,369,370,NA,NA,TS-D
XO-BOM018,VFD-018,DO,D,GAB-002,PLC-002,CB-VFD-018-D-1,4,4,CB-VFD-018-D-1,NA,NA,NA,NA,NA,2,372,371,372,NA,NA,TS-D
XA-BOM019,VFD-019,DI,D,GAB-002,PLC-002,CB-VFD-019-D-1,1,1,CB-VFD-019-D-1,NA,NA,NA,NA,NA,2,374,373,374,NA,NA,TS-D
XC-BOM019,VFD-019,DO,D,GAB-002,PLC-002,CB-VFD-019-D-1,2,2,CB-VFD-019-D-1,NA,NA,NA,NA,NA,2,376,375,376,NA,NA,TS-D
XI-BOM019,VFD-019,DI,D,GAB-002,PLC-002,CB-VFD-019-D-1,3,3,CB-VFD-019-D-1,NA,NA,NA,NA,NA,2,378,377,378,NA,NA,TS-D
XO-BOM019,VFD-019,DO,D,GAB-002,PLC-002,CB-VFD-019-D-1,4,4,CB-VFD-019-D-1,NA,NA,NA,NA,NA,2,380,379,380,NA,NA,TS-D
XA-BOM020,VFD-020,DI,D,GAB-002,PLC-002,CB-VFD-020-D-1,1,1,CB-VFD-020-D-1,NA,NA,NA,NA,NA,2,382,381,382,NA,NA,TS-D
XC-BOM020,VFD-020,DO,D,GAB-002,PLC-002,CB-VFD-020-D-1,2,2,CB-VFD-020-D-1,NA,NA,NA,NA,NA,2,384,383,384,NA,NA,TS-D
